condition_label,medical_abstract
cardiovascular diseases,"Seven-pathogen tricuspid endocarditis in an intravenous drug abuser. Pitfalls in laboratory diagnosis. Polymicrobial endocarditis is being reported with increasing frequency in drug abusers. However, the full extent of infection may be unrecognized with routine blood culture techniques because of the overgrowth of more fastidious organisms by other pathogens. This report documents an intravenous drug abuser with the first reported case of tricuspid valve endocarditis involving seven pathogens, discusses pitfalls of routine blood cultures and examines the role of the laboratory in microbiologic diagnosis. "
cardiovascular diseases,"Multiple breakpoint method for measuring effect of antibiotics on endocarditis strains of streptococci. The activity of penicillin alone and combined with aminoglycoside on endocarditis strains of streptococci was examined. Good assay reproducibility was obtained by the use of logarithmic phase cultures standardised by opacity, careful inoculation of well-plates, removal of antibiotic by membrane transfer and incubating survival counts in hydrogen plus carbon dioxide. The use of 10-fold intervals for penicillin concentration simplified assay design without loss of efficiency. "
cardiovascular diseases,"Myocardial infarction in the young adult. CAD in young male adults below the age of 40 years has generally been found to be associated with the usual risk factors associated with CAD. In a lesser number of young adults, MIs may be related to cocaine use. Sympathomimetic effects and increase in myocardial oxygen demand are factors considered responsible for acute MI in cocaine-abusing patients. In young adults who are asymptomatic following an acute MI and who are able to pass treadmill exercise stress tests at levels of Bruce stage 4 have been shown to have normal coronary arteriograms. Thus this subset should not require routine coronary angiograms following an acute MI. "
cardiovascular diseases,"Pheochromocytoma and acute myocardial infarction. When a pheochromocytoma is manifested as an acute myocardial illness, diagnosis may be difficult to make. If the tumor is suspected early enough, a workup can be done while the complications of the myocardial illness are being controlled (as in our case). The tumor can then be expeditiously removed before any further problems develop. The case presented here underscores the importance of maintaining a high index of suspicion for a pheochromocytoma in any patient who has an unexpected myocardial event. "
cardiovascular diseases,Pregnancy associated with Gorlin's syndrome. A pregnant woman with Gorlin's syndrome presented for the removal of malignant ovarian tumours. The main problem encountered by the anaesthetists was an unexpected increase in arterial blood pressure. This was most probably associated with surgical manipulation of the ovaries with an increase in prorenin/renin production. 
cardiovascular diseases,Renal vascular disease in African-Americans and other racial minorities. Hypertensive end-stage renal disease is about 10-fold more common nationwide in African-Americans than in Caucasians and 17-fold higher in some sections of the United States. These figures are alarming and require a much greater effort in understanding the causes of this disparity and improving blood pressure control in this population to prevent catastrophic renal damage. More information is also needed about the renovascular status of other minorities. Financial obstacles to antihypertensive care appear to be an important contributing factor to the disparities of end-stage renal disease in African-Americans and perhaps other minorities. 
cardiovascular diseases,"Oral contraceptives in women with diabetes. We evaluated the association of oral contraceptive use with the presence and severity of diabetic retinopathy, hypertension, and glycosylated hemoglobin in women of childbearing age who have diabetes. Neither current or past use nor number of years of use of oral contraceptives was associated with severity of retinopathy, hypertension, or current glycosylated hemoglobin. In conclusion, further study of various birth control methods in young women of childbearing age should be considered. "
cardiovascular diseases,"Transoesophageal pacing for perioperative control of neonatal paroxysmal supraventricular tachycardia. The perioperative management of a 16-day-old infant with recurrent supraventricular tachycardia (SVT) is discussed. Vagal manoeuvres and medication were not adequate in controlling the SVT. Since the patient was scheduled for extensive surgery in the prone position, it was decided to use transoesophageal pacing as the method of choice for conversion of SVT. Transoesophageal pacing succeeded several times in overriding the SVT and restoring normal heart rate and haemodynamic variables. The advantages and disadvantages of various methods of treating SVT in the newborn are discussed. "
cardiovascular diseases,Oral contraceptives and myocardial infarction. The risk of myocardial infarction in contraceptive users is limited to women over 35 years of age who smoke. The cause of myocardial infarction in oral contraceptive users is thrombotic and not atherosclerotic. Minor lipid changes have no clinical relevance to myocardial infarction in contraceptive pill users and do not appear to increase coronary plaques. 
cardiovascular diseases,"Central retinal artery obstruction in herpes zoster ophthalmicus and cerebral vasculopathy. We present a case of acute central retinal artery obstruction in association with Herpes zoster ophthalmicus and delayed cerebral vasculopathy. Retinal vascular obstruction is rare in zoster, and its occurrence during postherpetic cerebral vasculopathy has not been reported previously to our knowledge. The syndrome of delayed cerebral vasculopathy is discussed as is its possible relationship to central retinal artery obstruction. "
cardiovascular diseases,"Amniotic and thromboembolism. Embolic phenomena in pregnancy demand rapid investigation and treatment. Regardless, some patients will not survive due to the enormity of the insult. Optimally, such patients should be treated in tertiary care centers, but this is not always possible. "
cardiovascular diseases,"Current status of antitachycardia devices. With the limitations of currently available modalities for treating clinically important tachycardias, the role of implanted antitachycardia devices will continue to expand. The challenge of the future will not only involve continued technological advances but the socioeconomic impact of this efficacious but expensive mode of therapy in an era of increasing financial restraints. Further studies to definitively prove the efficacy of more widespread use of antitachycardia device therapy will be needed. "
cardiovascular diseases,"The future of nephrology. The Cellular and Molecular Age of Nephrology has dawned and the future is remarkably exciting. The successful attack on the major causes of renal disease, including genetic diseases, glomerulonephritis, diabetes, vasculitis, acute renal failure, and hypertension, will necessitate improved knowledge about pathogenesis. This new knowledge will allow early detection and target-specific therapies, the array of which is only limited by our imagination. The challenge to be an active player in this exciting future as a physician-scientist in the field of nephrology is indeed a rare opportunity. "
cardiovascular diseases,Coronary artery dilatation requiring high inflation pressure. A patient with rigid coronary lesions refractory to balloon dilatation is described. A Cordis Orion fixed wire balloon able to withstand 20 bar was required for successful dilatation. 
cardiovascular diseases,"Turner's syndrome, fibromuscular dysplasia, and stroke. We report a 43-year-old woman who presented with a right frontoparietotemporal ischemic stroke. She had been diagnosed with Turner's syndrome during childhood and had a history of chronic estrogen therapy. Cerebral angiography showed lesions characteristics of fibromuscular dysplasia involving the right internal carotid and right vertebral arteries. We are not aware of any previous reports describing an association between fibromuscular dysplasia and Turner's syndrome. Although chronic estrogen therapy cannot be ruled out as a cause of this patient's stroke, we suggest a possible etiologic relation between these two entities. "
cardiovascular diseases,"Right-to-left shunting through a patent foramen ovale caused by pulmonary hypertension associated with rheumatoid arthritis and Sjogren's syndrome: a case report. This case report presents a fifty-four-year-old woman with right-to-left shunt in the atrium. It seemed clinically at first that the shunt was due to atrial septal defect. However, she also had pulmonary disease associated with rheumatoid arthritis and Sjogren's syndrome. At autopsy atrial septal defect was not evident, but a patent foramen ovale and pulmonary artery disease were observed. This case suggests that pulmonary hypertension secondary to rheumatoid arthritis and Sjogren's syndrome could lead to right-to-left shunting through a patent foramen ovale. "
cardiovascular diseases,Cardiac arrest due to spontaneous coronary artery dissection in a patient with coronary ectasia--a case report. Spontaneous coronary artery dissection is a rare event and only in a few patients has the diagnosis been angiographically confirmed during life. A spontaneous dissection of the right coronary artery was detected as a cause of out-of-hospital cardiac arrest in a patient with coronary artery ectasia. 
cardiovascular diseases,"Microangiopathy in the eosinophilia-myalgia syndrome. The eosinophilia-myalgia syndrome associated with the ingestion of L-tryptophan was recognized in late 1989. We describe our pathologic study of skin, fascial, and muscle biopsies from 21 patients evaluated by light microscopy, histochemistry, and electron microscopy. A perivascular, lymphocytic infiltrate with eosinophils was present in the dermis, fascia, and skeletal muscle. Lymphocytic infiltration of arteries and arterioles was seen. Ultrastructurally, capillary and arteriolar endothelial cell thickening and necrosis was present. This microangiopathy suggests that ischemia may be a contributing factor to the findings in this syndrome. "
cardiovascular diseases,Coronary ostial reconstruction: technical issues. Coronary ostial reconstruction may be the preferred alternative to reestablish antegrade myocardial revascularization in patients with isolated ostial stenosis. The technical steps of reconstruction are described. The ultrasonic aspirator is a helpful implement in the dissection of the left main and the proximal right coronary arteries. Satisfactory results of coronary ostial reconstruction in the current era seem to fulfill its promise. 
cardiovascular diseases,"Perforin-mediated myocardial damage in acute myocarditis. Endomyocardial specimens were obtained from 7 patients with acute myocarditis. Immunohistochemical examination of the mononuclear infiltrate showed mainly cytotoxic T lymphocytes and natural killer cells. Perforin (a pore-forming protein found in cytotoxic lymphocytes) was identified in this myocardial lymphocytic infiltrate and electron microscopy showed myocardial cell damage that may have been associated with these perforin containing lymphocytes. The results indicate that in acute idiopathic and viral myocarditis, myocardial damage may be due to the action of perforin-secreting lymphocytes. "
cardiovascular diseases,"Reperfusion arrhythmias after thrombolysis. Electrophysiologic tempest, or much ado about nothing. Arrhythmias that may accompany myocardial reperfusion have generated significant clinical interest. First, there were concerns, based on animal studies, that high-grade ventricular tachyarrhythmias would pose a serious threat following thrombolytic therapy to treat an evolving myocardial infarction. Second, lower-grade arrhythmias, such as accelerated idioventricular rhythm, were cited as useful, noninvasive markers of successful reperfusion. Critical review of the current data, however, indicates that arrhythmias following thrombolytic therapy for acute myocardial infarction are usually neither dangerous clinical events nor consistent markers of reperfusion. "
cardiovascular diseases,Dilated and contracted forms of primary endocardial fibroelastosis: a single fetal disease with two stages of development. Left ventricular endocardial fibroelastosis was diagnosed by echocardiographic scanning in a fetus at 20 weeks' gestation. Repeated prenatal examination over the next 20 weeks' gestation showed the development of the left ventricle from a chamber with a dilated cavity to a small cavity with a very thick wall. These findings were confirmed at necropsy and by the absence of other morphological anomalies. The contracted form of primary fibroelastosis in the fetus must have followed an insult that prevented any further increase in the size of the left ventricular cavity. 
cardiovascular diseases,Infant survival following delayed postmortem cesarean delivery. A 19-year-old multipara was delivered of a living infant by postmortem cesarean 22 minutes after documented maternal cardiac arrest and 47 minutes from the fatal injury. Neonatal follow-up at 18 months of age demonstrated no evidence of neurologic damage. 
cardiovascular diseases,Effect of propranolol on endothelin-induced increase in cytosolic free calcium. This study was designed to investigate the effect of propranolol on endothelin (ET)-1-induced increase in cytosolic Ca2+ [( CA2+]i) in cultured vascular smooth muscle cells (VSMCs) obtained from rat aorta. Propranolol (0.01 to 1 mmol/L) reduced the changes in the initial transient and the later sustained phase of [Ca2+]i induced by 100 nmol/L ET-1 as well as 10 mmol/L procaine. The inhibitory action of propranolol on the change in [Ca2+]i induced by ET-1 may be involved in one of the mechanisms of propranolol-induced reduction of vasospasms. 
cardiovascular diseases,"Peripheral vascular disorders. Assessment and intervention. Peripheral vascular diseases are being seen with increased frequency in the health care setting today. It is imperative that nurses have a clear understanding of arterial, venous, and lymphatic circulatory mechanisms as well as the pathophysiologic changes that accompany common diseases of these systems. Providing the ongoing assessment to obtain a diagnosis, establish the acute versus chronic nature of findings, monitor progression, plan care, and assess the response to treatment is an important role for the nurse in order to preserve function, life, and limb in these patients. "
cardiovascular diseases,"Proximal posterior cerebral artery occlusion simulating middle cerebral artery occlusion. We describe 12 cases of acute stroke in which clinical features of proximal posterior cerebral artery occlusion simulated the clinical syndrome of middle cerebral artery occlusion. The majority of patients developed contralateral hemiparesis, homonymous hemianopia, hemispatial neglect, and sensory loss or sensory inattention. All 8 patients with dominant hemisphere lesions were aphasic. Accurate diagnosis in each case was achieved only after a head CT, showing occipital lobe, thalamic, and inferomesial temporal lobe infarction. ""Cortical"" signs are probably explained by thalamic involvement. Recognition of this syndrome has implications for management and prognosis. "
cardiovascular diseases,"Penetration of the pericardium by a gastric ulcer--survival after pericardiocentesis. Elderly patients often have unusual manifestations of common illnesses. We describe a geriatric patient having a pneumopericardium from pericardial penetration by a gastric ulcer. Benign gastric ulceration causing perforation of the pericardium or other cardiac structures was recognized as early as 1854; however, until 1964, the condition was invariably fatal. Our patient survived the episode after early pericardiocentesis and medical treatment. Aspects of this uncommon clinical entity and a brief review of the literature are described. "
cardiovascular diseases,"Intravenous enalaprilat therapy for hypertension. The angiotensin-converting enzyme inhibitor enalapril is available for intravenous administration in the form of enalaprilat. Intravenous enalaprilat is indicated for the management of hypertension when oral therapy is not feasible. However, there are no reports of intravenous enalaprilat therapy exceeding one week in duration. We report the case of a critically ill, 39-year-old woman who received intravenous enalaprilat for the management of hypertension for a period of 21 days. The patient's blood pressure and heart rate were controlled adequately on a regimen of enalaprilat 1.25 mg iv piggyback q6h without any apparent adverse effects. "
cardiovascular diseases,"Occlusion of the brachial artery by thrombus dislodged from a traumatic aneurysm of the anterior humeral circumflex artery. The successful treatment of a brachial artery occlusion caused by a chronic embolizing aneurysm of the anterior humeral circumflex artery is described. In the case of embolizing axillary artery aneurysms, the best therapy is resection of the aneurysm followed by distal thromboembolectomy and vascular reconstruction by a saphenous vein segment. Prosthetic material should be reserved as a second choice. In this particular case successful therapy consisted of ligation of the anterior humeral circumflex artery proximal and distal to the aneurysm, resection of the aneurysm, and transcubital thromboembolectomy. "
cardiovascular diseases,Rash after treatment with anistreplase. A palpable purpura developed on the legs and lower abdomen of a woman of 54 five days after she was treated with anistreplase anisoylated plasminogen streptokinase activator complex (APSAC) for an acute myocardial infarction. Histological examination of a skin biopsy specimen taken 6 days after treatment showed leucocytoclastic vasculitis. The rash resolved within two weeks and there were no other complications. 
cardiovascular diseases,"Coronary artery dissection--a case report. Coronary artery dissection, both spontaneous and catheter-induced, is associated with a significant morbidity and mortality. The authors present a case of a middle-aged woman with spontaneous right coronary artery dissection causing inferior wall myocardial infarction and left coronary artery dissection at the time of coronary arteriography. It is suggested that emergency aortocoronary bypass surgery be performed preceded by insertion of an intra-aortic balloon in acute evolving cases where coronary anatomy is favorable to limit infarction and avert loss of life. "
cardiovascular diseases,Massive hemorrhage from an arterioureteral fistula associated with chronic renal transplant failure. A case of arterioureteral fistula from the graft artery stump of a failed transplant and the native ureter is reported. This case illustrates one of the possible complications of graft anastomosis. The etiological factors involved in the formation of the aneurysm and eventually the fistula are discussed. 
cardiovascular diseases,"Brucella endocarditis: the role of combined medical and surgical treatment. Brucella endocarditis, although a rare complication of brucellosis, is the main cause of death related to this disease. This report describes a case of aortic endocarditis due to Brucella abortus in an elderly farmer with known aortic stenosis. Urgent valve replacement was performed because of progressive heart failure despite appropriate antimicrobial treatment. The infection was cured with trimethoprim-sulfamethoxazole and rifampin given for 3 months after surgery. A review of the literature reports on the 38 other cases of cured brucella endocarditis made clear the need for combined antimicrobial treatment and surgical valve replacement. "
cardiovascular diseases,"Strokes in African-Americans. Hypertension is the most important risk factor for stroke, especially in African-Americans. Improved control of high blood pressure nationwide is a key factor in the recent dramatic decline in stroke frequency, most notably in African-American women. Hypertension control programs must be adequately funded and expanded. African-Americans have a disproportionately high incidence of risk factors for stroke, including hypertension. There is evidence that the cerebral vessels involved in ischemic stroke in African-Americans may differ from those of Caucasians. There is an urgent need for more research on stroke in general, risk factor relations in particular, and mechanisms in the pathogenesis of stroke in African-Americans. "
cardiovascular diseases,"Transient mitral regurgitation due to mitral valve prolapse accompanied by systolic anterior motion of the mitral valve. A grade 4/6 systolic murmur, systolic anterior motion of the mitral valve (SAM), and severe mitral regurgitation (MR) documented by two-dimensional Doppler echocardiography developed suddenly on the structurally normal heart of a patient with idiopathic portal hypertension. The patient did not have signs of congestive heart failure and the aforementioned phenomenon disappeared completely when the patient was in hepatic failure. This could be explained by a change in circulating blood volume either by gastrointestinal hemorrhage or hepatic failure. "
cardiovascular diseases,"Balloon valvuloplasty for fungal endocarditis induced stenosis of a bioprosthetic tricuspid valve. Palliative treatment was provided without complications by double balloon valvuloplasty of a stenotic porcine tricuspid valve in a patient with fungal endocarditis. With two 15 mm diameter valvulotomy balloons the peak tricuspid gradient decreased from 21 to 7 mm Hg and valve area increased from 0.3 to 1.2 cm2. After the procedure the patient clinically improved; however, valve replacement was not performed as planned because the patient developed an intracranial hemorrhage. She subsequently died of complications of fungemia. The present report demonstrates the possible use of valvuloplasty as a palliative procedure in selected patients with valvular stenosis involved with endocarditis. "
cardiovascular diseases,Tension pneumopericardium as a complication of single-lung transplantation. Tension pneumopericardium is distinctly uncommon in the adult population. We present a case of tension pneumopericardium as a complication of lung transplantation in a 54-year-old woman with thromboembolic pulmonary hypertension who underwent single-lung transplantation. 
cardiovascular diseases,Portal venous gas in a patient with Crohn's disease. Portal venous gas usually occurs in the setting of an acute abdomen. Several causes for benign portal venous gas (PVG) have been reported. We describe the finding of PVG by computed tomography in a febrile patient with Crohn's disease and discuss the clinical implications of such a finding. 
cardiovascular diseases,"Technetium-99m sestamibi in chronic coronary artery disease: the European experience. Since the introduction of technetium-99m methoxy-isobutyl isonitrile (Tc-99m sestamibi) in Europe, there has been a growing interest in its use. Several European multicenter trials have been conducted to evaluate this new agent in relation to the traditional perfusion marker thallium-201, and other studies are in progress to understand the use of this perfusion marker for the diagnosis of coronary disease, for use in conjunction with pharmacologic vasodilation, for use in the assessment of ventricular function and wall motion and for the assessment of interventions. "
cardiovascular diseases,"Biplane transesophageal echocardiography: technique, image orientation, and preliminary experience in 131 patients. Transesophageal echocardiography with use of a uniplane phased-array transducer with a transverse or horizontal scanning plane has become a well-established tool for evaluating cardiovascular diseases. Recent introduction of biplane probes has enhanced the diagnostic capability of this imaging technique. This article discusses the technique of biplane transesophageal echocardiographic examination and image orientation. The diagnostic value and advantages of various biplane transesophageal images of the heart, aorta, and aortic arch from various esophageal positions are described. "
cardiovascular diseases,"Giant cell arteritis. A case with unusual neurologic manifestations and a normal sedimentation rate. Giant cell (temporal) arteritis is a serious inflammatory condition that can lead to blindness, stroke, or other adverse sequelae if not properly treated. An elevated erythrocyte sedimentation rate has traditionally been emphasized as a criterion for making this diagnosis. Delays in diagnosis and unnecessary testing may occur when a patient presents with a normal erythrocyte sedimentation rate and a clinical history consistent with this condition. We describe a patient with giant cell arteritis who presented with a normal erythrocyte sedimentation rate and who subsequently developed devastating central nervous system complications. "
cardiovascular diseases,Chylothorax secondary to obstruction of the superior vena cava: a complication of the LeVeen shunt. A case of thrombosis of the superior vena cava was complicated by bilateral chylothoraces and a widened mediastinum. Removal of a clotted LeVeen shunt led to prompt resolution of the obstruction and chylothoraces. 
cardiovascular diseases,"Babinski-Nageotte syndrome on magnetic resonance imaging. A 70-year-old woman developed left hypoglossal nerve palsy, a right hemiparesis sparing the face, and a typical left Wallenberg's syndrome. These symptoms resulted from a lesion in the left half of the medulla oblongata, suggesting Babinski-Nageotte syndrome, a rare cerebrovascular disease. This is the first case of ischemic infarction in the territory of the left vertebral artery and posterior inferior cerebellar artery demonstrated on magnetic resonance imaging. Severe bilateral lesions of the distal vertebral arteries demonstrated on digital subtraction angiography may have contributed to the development of this syndrome. "
cardiovascular diseases,"Full recovery after a chloroquine suicide attempt. The nonfatal case of a 20 year-old woman who ingested 6 grams of chloroquine in a suicide attempt is reported. After initial ventricular fibrillation, she rapidly developed a pulmonary edema with cardiogenic shock. She was successfully treated with diazepam, epinephrine, dobutamine and mechanical ventilation. Plasma chloroquine levels showed an initial peak of 36 micrograms/mL. The patient was discharged fully recovered after 19 days. The interaction between chloroquine and diazepam is discussed, as is the need for careful management of epinephrine therapy. "
cardiovascular diseases,"Downslope claudication in eosinophilic fasciitis: a fourth type of claudication--case presentations. Two patients who presented with discomfort in the calves while walking down a slope were diagnosed as suffering from eosinophilic fasciitis of the lower limbs. Following therapy of the underlying disease, this peculiar discomfort remitted concomitantly with the disappearance of the subcutaneous abnormalities. The authors posit that downslope claudication of the calves in eosinophilic fasciitis constitutes an additional variant of claudication of the lower limbs. "
cardiovascular diseases,"Anaphylactoid reactions during hemodialysis on AN69 membranes in patients receiving ACE inhibitors. We report five life-threatening anaphylactoid reactions occurring within the very first minutes of hemodialysis on polyacrylonitrile (AN69) capillary dialyzers in three patients receiving ACE inhibitors. Such reactions were not observed either in patients treated with ACE inhibitors but dialyzed on other membranes (N = 9), nor in patients on AN69 who did not receive ACE inhibitors (N = 19). These anaphylactoid reactions could be due to bradykinin accumulation, as a result of both increased synthesis--by interaction of blood with the AN69 polymer--and catabolism blockade by ACE inhibitors. "
cardiovascular diseases,"Lovastatin. Warfarin interaction. Two patients who developed hypoprothrombinemia and bleeding due to lovastatin-warfarin drug interaction are described. Because of the wider use of lovastatin and warfarin, heightened clinical awareness of this potentially serious interaction must be publicized. Therefore, prothrombin time should be monitored diligently when warfarin is prescribed to patients receiving lovastatin. "
cardiovascular diseases,"Assessment of ventricular function with an ambulatory left ventricular function monitor. Changes in ventricular function caused by activities of daily living, including standing, walking, stair climbing, and mental stress, were evaluated using a radionuclide device that recorded left ventricular function on a beat-by-beat basis. The ambulatory monitor was positioned over the patient's left ventricle after a gated blood pool scan. Monitoring revealed a 10% increase of left ventricular ejection fraction from baseline to brisk walking, an 18% increase during stair climbing, and a 6% increase with mental stress. In some subjects, however, the increase in ejection fraction during mental stress exceeded that during exercise. "
cardiovascular diseases,Retroperitoneal fibrosis after surgery for aortic aneurysm in a patient with periarteritis nodosa: successful treatment with corticosteroids. A 54-year-old man with hepatitis B virus-related periarteritis nodosa developed retroperitoneal fibrosis with bilateral hydronephrosis 2.5 months after placement of an aortobifemoral prosthesis for abdominal aortic aneurysm. Retroperitoneal fibrosis disappeared after treatment with corticosteroids. This observation is interesting in the light of the hypothesis that retroperitoneal fibrosis is caused by vasculitis. 
cardiovascular diseases,"Central retinal vein obstruction and axial length. The axial lengths of 24 consecutive adult eyes with unilateral central retinal vein obstruction (CRVO) were compared with those of contralateral unaffected eyes and those of a control population. The lengths of the two eyes of persons with a unilateral CRVO were not significantly different. By contrast, eyes of persons with CRVO averaged 0.67 mm (approximately 2 diopters) shorter than their control counterparts (P = .03). This anatomic difference may be a factor in the development of CRVO. "
